Date mutation,Valeur fonciere,No voie,Type de voie,Voie,Code ID commune,Code postal,Commune,Code departement,Code commune,1er lot,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
2020-04-22 00:00:00,223905,80.0,RUE,DE MEYRIN,13,1210.0,FERNEY-VOLTAIRE,1,160,1101,"63,54",Appartement,63,3
2020-04-15 00:00:00,540000,20.0,,HAMEAU DES CHENES,25,1710.0,THOIRY,1,419,1,"101,52",Maison,102,6
2020-04-15 00:00:00,230000,47.0,CHE,DES ECOLIERS,2,1220.0,DIVONNE-LES-BAINS,1,143,10,"51,7",Appartement,42,2
2020-04-08 00:00:00,445000,48.0,RUE,DE GENEVE,13,1210.0,FERNEY-VOLTAIRE,1,160,141,"114,17",Appartement,115,4
2020-04-27 00:00:00,44000,40.0,IMP,DES PISTES,28,1410.0,LELEX,1,210,605,"21,48",Appartement,21,2
2020-04-09 00:00:00,145900,4.0,IMP,DU PEGAN,13,1210.0,FERNEY-VOLTAIRE,1,160,131,"36,21",Appartement,36,1
2020-04-22 00:00:00,57000,4.0,PL,DE L HOTEL DE VILLE,36,1640.0,JUJURIEUX,1,199,11,"44,24",Appartement,48,2
2020-04-21 00:00:00,138000,76.0,RUE,COLONEL XAVIER RENDU,4,1200.0,VALSERHONE,1,33,29,"54,7",Appartement,54,2
2020-04-09 00:00:00,190000,18.0,AV,FRANCIS BLANCHARD,9,1170.0,GEX,1,173,31,51,Appartement,54,2
2020-03-16 00:00:00,182000,711.0,RUE,DES MORAINES,1,1170.0,CHEVRY,1,103,21,"42,92",Appartement,41,2
2020-03-26 00:00:00,271000,120.0,CHE,DU MARTINET,11,1170.0,CESSY,1,71,24,"68,08",Appartement,67,3
2020-04-28 00:00:00,114400,35.0,RUE,BUFFON,4,1200.0,VALSERHONE,1,33,19,"70,15",Appartement,69,3
2020-04-29 00:00:00,98000,20.0,RUE,PARMENTIER,4,1200.0,VALSERHONE,1,33,33,"57,23",Appartement,56,2
2020-04-17 00:00:00,505000,461.0,RUE,JEAN-JACQUES ROUSSEAU,6,1630.0,ST-GENIS-POUILLY,1,354,8,"132,16",Appartement,131,5
2020-04-24 00:00:00,289150,114.0,RUE,DU CONTE DES PERMISSIONS,2,1220.0,DIVONNE-LES-BAINS,1,143,7,"58,62",Appartement,63,2
2020-04-29 00:00:00,104000,38.0,RUE,JOSEPH MARION,4,1200.0,VALSERHONE,1,33,2,"61,89",Appartement,60,3
2020-04-30 00:00:00,245000,242.0,RUE,DES VERTES CAMPAGNES,9,1170.0,GEX,1,173,332,"92,45",Appartement,105,3
