regrgp_nom,reg_nom,dep_nom,com_code,com_nom_maj,com_nom,dep_code,dep_id,reg_code
Province,Nouvelle-Aquitaine,Vienne,86216,SAINT-CHARTRES,Saint-Chartres,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49175,LINIERES-BOUTON,LiniÃ¨res-Bouton,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86218,SAINT-CLAIR,Saint-Clair,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49185,LUE-EN-BAUGEOIS,LuÃ©-en-Baugeois,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86223,SAINT-GERMAIN,Saint-Germain,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49186,LUIGNE,LuignÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86234,SAINT-MARTIN-L'ARS,Saint-Martin-l'Ars,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49197,MEIGNE-LE-VICOMTE,MeignÃ©-le-Vicomte,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86238,SAINT-PIERRE-LES-EGLISES,Saint-Pierre-les-Ã‰glises,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49206,MONTFAUCON-MONTIGNE,Montfaucon-MontignÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86239,SAINTE-RADEGONDE,Sainte-RadÃ©gonde,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49210,MONTIGNE-SUR-MOINE,MontignÃ©-sur-Moine,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86241,SAINT-REMY-SUR-CREUSE,Saint-RÃ©my-sur-Creuse,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49211,MONTILLIERS,Montilliers,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86244,SAINT-SAUVANT,Saint-Sauvant,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49212,MONTJEAN-SUR-LOIRE,Montjean-sur-Loire,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86268,TERCE,TercÃ©,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49213,MONTPOLLIN,Montpollin,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86281,VENDEUVRE-DU-POITOU,Saint-Martin-la-Pallu,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49216,MONTREUIL-SUR-LOIR,Montreuil-sur-Loir,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86282,VENIERS,VÃ©niers,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49218,MONTREVAULT,Montrevault-sur-Ãˆvre,49,D049,52
Province,Nouvelle-Aquitaine,Vienne,86298,VOUNEUIL-SUR-VIENNE,Vouneuil-sur-Vienne,86,D086,75
Province,Pays de la Loire,Maine-et-Loire,49219,MONTSOREAU,Montsoreau,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87001,AIXE-SUR-VIENNE,Aixe-sur-Vienne,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49227,NOTRE-DAME-D'ALLENCON,Notre-Dame-d'AllenÃ§on,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87008,LA BAZEUGE,La Bazeuge,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49241,LE PLESSIS-GRAMMOIRE,Le Plessis-Grammoire,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87011,BELLAC,Bellac,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49254,QUERRE,QuerrÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87016,LES BILLANGES,Les Billanges,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49262,ROU-MARSON,Rou-Marson,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87024,BUJALEUF,Bujaleuf,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49265,SAINT-AUBIN-DE-LUIGNE,Saint-Aubin-de-LuignÃ©,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87025,BURGNAC,Burgnac,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49276,SAINT-FLORENT-LE-VIEIL,Saint-Florent-le-Vieil,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87036,CHAMPSAC,Champsac,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49277,SAINTE-GEMMES-D'ANDIGNE,Sainte-Gemmes-d'AndignÃ©,49,D049,52
